"title","nomearquivo","evento"
"Comunicado","1534856596image.jpeg","1"
"Comunicado","1388408366CG_02b.JPG","1"
"Comunicado","1388408415CG_02b.JPG","1"
"Comunicado","1534856596image.jpeg","1"
"Comunicado","1388408366CG_02b.JPG","1"
"Comunicado","1388408415CG_02b.JPG","1"
"Clube de Desconto ","1475171728Logo_Clube_Desconto.jpg","75"
"teste","1583332583midiaclip.png","451"
"teste","1583332583midiaclip.png","451"
"teste","1583332583midiaclip.png","451"
"Planserv apoia Dia Mundial de Luta contra as Hepatites Virais","1469476648sesab1.jpg","35"
"Premiações de valorização do servidor estão com inscrições abertas","1468007850premio_servidor.png","12"
"Saeb inicia disseminação de tecnologias de gestão na Seagri","1468599680IMG_6004.JPG","19"
"Novo modelo de compra de passagem de ônibus vai gerar economia de R$ 1 milhão para o Estado","14685992127420525718_0305828cf8_o.jpg","18"
"Empresas de serviços e de educação e treinamento são novas parceiras do Clube de Desconto","1468875717LOGOCLUBEDEDESCONTO.jpg","17"
"Clube de Desconto e Topdonto fecham parceria para Salvador e interior","1468863340142617098212032015ec_02.jpg","22"
"Clube de Desconto e Topdonto fecham parceria para Salvador e interior","1468951239LOGO_CLUBE_DE_DESCONTO.jpg","22"
"Vigésimo Prepare-se irá atender servidores de Guanambi e região","1468861990Suprev_Preparese_Salvador_21_11_5.jpg","20"
"Estado lança edital para leiloar bens públicos avaliados em R$ 639 mil","1468863199SSA_Primeiro_Leilao_de_Bens_Moveis_de_2013_foto3.JPG","21"
"Clube de Desconto e Topdonto fecham parceria para Salvador e interior","1468863340142617098212032015ec_02.jpg","22"
"Clube de Desconto e Topdonto fecham parceria para Salvador e interior","1468951239LOGO_CLUBE_DE_DESCONTO.jpg","22"
"Ipog Cursos e Clube de Desconto fecham promoção em MBA na área criminal e cível","1468957149cursodesentenca.jpg","26"
"Ipog Cursos e Clube de Desconto fecham promoção em MBA na área criminal e cível","1469011337LOGO_CLUBE_DE_DESCONTO.jpg","26"
"Planserv participa de seminário promovido pelo Cremeb","1468875049Cristina_Cardoso.jpg","23"
"Planserv participa de seminário promovido pelo Cremeb","1468875063Cristina_Cardoso_01.jpg","23"
"Planserv participa de seminário promovido pelo Cremeb","1468875117Mesa_de_palestrantes.jpg","23"
"Planserv participa de discussão sobre os desafios da Atenção Domiciliar","1468875363Paulo_Roberto_Santana_PLANSERV_Leonardo_Salgado_NEAD.jpg","24"
"Planserv participa de discussão sobre os desafios da Atenção Domiciliar","1468952686PauloRobertoSantana_do_PLANSERV_e_Leonardo_Salgado_do_NEAD.jpg","24"
"Planserv participa de discussão sobre os desafios da Atenção Domiciliar","1468953785PauloRobertoSantana_do_PLANSERV_e_Leonardo_Salgado_do_NEAD.jpg","24"
"Planserv participa de discussão sobre os desafios da Atenção Domiciliar","1468955100destaque_1468875363Paulo_Roberto_Santana_PLANSERV_Leonardo_Salgado_NEAD.jpg","24"
"Planserv participa de discussão sobre os desafios da Atenção Domiciliar","1468955624teste1.jpg","24"
"Planserv participa de discussão sobre os desafios da Atenção Domiciliar","1468955701teste1.jpg","24"
"GACC-BA e Martagão Gesteira participam do McDia Feliz 2016","1469025281normal_1465934699IMG20160614WA0050.jpg","27"
"GACC-BA e Martagão Gesteira participam do McDia Feliz 2016","1469025281normal_1465934699IMG20160614WA0050.jpg","27"
"Clube de Desconto fecha parceria com empresa de arte","146903917212105941_1164314140265403_733516079705940552_n.jpg","29"
"Rede SAC inaugura unidade em Ribeira do Pombal","1469478549IMG_6157.JPG","37"
"Rede SAC inaugura unidade em Ribeira do Pombal","1469478565IMG_6194.JPG","37"
"Rede SAC inaugura unidade em Ribeira do Pombal","1469478606IMG_6203.JPG","37"
"Rede SAC inaugura unidade em Ribeira do Pombal","1469566786IMG_6137.JPG","37"
"Rede SAC inaugura unidade em Ribeira do Pombal","1469566800IMG_6139.JPG","37"
"Rede SAC inaugura unidade em Ribeira do Pombal","1469566845IMG_6210.JPG","37"
"Rede SAC inaugura unidade em Ribeira do Pombal","1469566896IMG_6219.JPG","37"
"Planserv disponibiliza vídeos tutoriais para treinar prestadores","1469209410caravana3.jpg","31"
"Estado economiza R$ 26,9 milhões em consumo de água e energia elétrica ","146921368420160719_164110.jpg","32"
"Planserv alerta beneficiários sobre golpe pelo telefone","1469546264marca_planserv.jpg","38"
"Saeb e Sesab iniciam levantamento do índice de infestação do Aedes no CAB","1469559946IMG20160401WA0001.jpg","39"
"Workshop faz balanço da Rede de Consultores Internos","1470160137IMG_6226.JPG","41"
"Workshop faz balanço da Rede de Consultores Internos","1470160322IMG_6237.JPG","41"
"Workshop faz balanço da Rede de Consultores Internos","1470160626IMG_6242_editado.jpg","41"
"Workshop faz balanço da Rede de Consultores Internos","1470160643IMG_6243_editado.jpg","41"
"Workshop faz balanço da Rede de Consultores Internos","1470160737equipe_rci.jpg","41"
"SAC Servidor completa três anos de serviços exclusivos ao funcionalismo público estadual","1470408048SAC_Servidor.jpg","43"
"Capacitação dos funcionários de almoxarifados do Estado começou hoje (15)","1471294285srl_primeira_turma_ibametro.jpg","49"
"Encontro reúne 120 pregoeiros da Secretaria da Saúde","1471356984ccl_encontro_pregoeiros.jpg","50"
"Corregedoria da PM se une à Corregedoria-Geral do Estado com foco na melhoria do sistema correcional baiano","1471389676IMG20160816WA0025.jpg","51"
"Corregedoria da PM se une à Corregedoria-Geral do Estado com foco na melhoria do sistema correcional baiano","1471390084IMG20160816WA0025.jpg","51"
"Corregedoria da PM se une à Corregedoria-Geral do Estado com foco na melhoria do sistema correcional baiano","1471390604corregedorecorregedorpm.jpg","51"
"Saeb promove encontro de pregoeiros para aprimorar conhecimentos em licitação","1471551723ccl_encontro_pregoeiros.jpg","54"
"Unidade do Planserv vai funcionar em Periperi a partir de segunda-feira (29)","1472503426PlanservBA.jpg","55"
"wPós e Clube de Desconto têm promoção até 31 de agosto","1472503579notbook_caderno_0.jpg","56"
"Gestores da Administração Pública iniciam Fórum Consad","1472756590consad.jpg","57"
"Mudanças no decreto de dosimetria trazem critérios objetivos para aplicação de penalidades","1473702328normal_1473092574Apresentacao_novo_decreto_de_dosimetria_050916_065.JPG","60"
"Mudanças no decreto de dosimetria trazem critérios objetivos para aplicação de penalidades","1473702328normal_1473092605Apresentacao_novo_decreto_de_dosimetria_050916_056.JPG","60"
"Mudanças no decreto de dosimetria trazem critérios objetivos para aplicação de penalidades","1473702328normal_1473092624Apresentacao_novo_decreto_de_dosimetria_050916_068.JPG","60"
"Mudanças no decreto de dosimetria trazem critérios objetivos para aplicação de penalidades","1473702328normal_1473092644Apresentacao_novo_decreto_de_dosimetria_050916_079.JPG","60"
"Mudanças no decreto de dosimetria trazem critérios objetivos para aplicação de penalidades","1473702328normal_1473092666Apresentacao_novo_decreto_de_dosimetria_050916_054.JPG","60"
"Mudanças no decreto de dosimetria trazem critérios objetivos para aplicação de penalidades","1473702328normal_1473092729Apresentacao_novo_decreto_de_dosimetria_050916_078.JPG","60"
"Mudanças no decreto de dosimetria trazem critérios objetivos para aplicação de penalidades","1473702328normal_1473092744Apresentacao_novo_decreto_de_dosimetria_050916_031.JPG","60"
"Governo do Estado inaugura unidade da Rede SAC em Euclides da Cunha","1473354743Inaugura_ponto_cidadao_euclides_da_cunha.jpg","64"
"Governo do Estado inaugura unidade da Rede SAC em Euclides da Cunha","1473703134IMG_6481.JPG","64"
"Governo do Estado inaugura unidade da Rede SAC em Euclides da Cunha","1473703134IMG_6504.JPG","64"
"Governo do Estado inaugura unidade da Rede SAC em Euclides da Cunha","1473703135IMG_6506.JPG","64"
"Encontro reúne 100 pregoeiros do Estado","1474303883ccl_3_encontro_pregoeiros.jpg","70"
"Cidadãos classificam serviços do IML com saldo positivo","1474493342conquali_3_reuniao.jpg","73"
"Plano de Previdência Complementar do Estado é apresentado em evento inaugural da PrevBahia","147517712729906087011_b0993e4216_o.jpg","78"
"Servidor público do Estado ganha desconto de 12% no colégio Salesiano","1475874399Logo_Salesiano_do_Salvador.jpeg","80"
"SAC Móvel visita Cachoeira e Bases Comunitárias de Segurança em outubro","1475874177Sac_Movel_02.jpg","79"
"Pregoeiros da SSP aprimoram conhecimentos em licitação","1476392677IMG_6689.JPG","82"
"Planserv participa do 19º Congresso da Unidas          ","1477422421Planserv_participa_do_19_Congresso_da_Unidas.jpg","88"
"Ponto Cidadão da Rede SAC é inaugurado em Barra da Estiva","14789886981478956325Estadio_Municipal_Aguinaldo_Oliveira_Coelhof_Pedro_Moraes_12.jpeg","98"
"Ponto Cidadão da Rede SAC é inaugurado em Barra da Estiva","14789886981478956326f_Pedro_14.jpeg","98"
"Ponto Cidadão da Rede SAC é inaugurado em Barra da Estiva","14789886981478956326Praa_do_Ginasio_Jaqson_Aguiar_Viana_f_Pedro_Moraes_10.jpeg","98"
"Ponto Cidadão da Rede SAC é inaugurado em Barra da Estiva","14789886981478958984Ponto_Cidado_f_Pedro_MoraesGOVBA_7.jpeg","98"
"Ponto Cidadão da Rede SAC é inaugurado em Barra da Estiva","14789886981478958985Ponto_Cidado_f_Pedro_MoraesGOVBA_4.jpeg","98"
"Ponto Cidadão da Rede SAC é inaugurado em Barra da Estiva","14789886981478958985Ponto_Cidado_f_Pedro_MoraesGOVBA_5.jpeg","98"
"Ponto Cidadão da Rede SAC é inaugurado em Barra da Estiva","14789886981478962584Assinatura_de_Ordem_de_servio_f_Pedro_MoraesGOVBA_14.jpeg","98"
"Servidores do Planserv entregam doações às OSID","1479847822planserv_doacao.jpg","101"
"Saeb anuncia reabertura de inscrições no concurso da Agerba","1480968843agerbaterminais.jpg","104"
"Microsoft é a mais nova empresa parceria do Clube de Desconto do Servidor","1480969188Microsoft.png","105"
"Microsoft é a mais nova empresa parceria do Clube de Desconto do Servidor","1480969391Micro.png","105"
"Microsoft é a mais nova empresa parceria do Clube de Desconto do Servidor","1480969677Micro.png","105"
"Comitê Consultivo do SAC retoma atividades","1481139987comite_consultivo_do_sac_retoma_atividades.JPG","108"
"SAC Móvel leva principais serviços para Base Comunitária de Amaralina","1481647436IMG20161213WA0006.jpg","110"
"Saeb prorroga inscrições para concurso da Agerba","1483452456Card_Saeb_Concurso_Agerba.png","120"
"Saeb oferece curso para servidores atuarem em licitações do Estado","1486046596IMG_6707.JPG","128"
"Governo publica decreto sobre compensação de feriados","1579899652101448_128.jpg","444"
"Saeb divulga resultado de provas da Agerba","1489674332agerbadf.jpg","141"
"Saeb divulga resultado de provas da Agerba","1489674332agerbadf.jpg","141"
"SAC de Lauro de Freitas ultrapassa 5 milhões de atendimentos","1489675425LaurodeFreitas01.jpg","142"
"Operação Faxinaço combate o Aedes aegypti no CAB","1490986970IMG20160401WA0001.jpg","148"
"Prêmio de valorização do servidor inscreve até julho","1490986880DiadoServidor_4.jpg","147"
"Saeb integra sistema de compras do Estado com Fisco Federal","1491224256arquivo2.jpg","150"
"Saeb recebe 51 jovens egressos do Programa Primeiro Emprego","1493068284DSC_0432.JPG","157"
"Aprimoramento da gestão é discutido em encontro na Saeb","1493155017DSC_0427.JPG","158"
"Estado lança edital de concurso para a área de segurança pública","1494367689pmba.jpg","165"
"Superintendente de Recursos Humanos faz palestra sobre o RH Bahia em evento da ABRH","1494543261fotooo.jpg","168"
"Serviços do Detran e do Planserv são inaugurados no posto da Rede SAC em Guarajuba","1495575180DSC_0729.JPG","176"
"Serviços do Detran e do Planserv são inaugurados no posto da Rede SAC em Guarajuba","1495575352DSC_0729.JPG","176"
"Mais Futuro garante assistência a 4 mil universitários baianos","14981590611498052520IMG_20170621_101638.jpg","184"
"Mais Futuro garante assistência a 4 mil universitários baianos","14981590621498054121WhatsApp_Image_20170621_at_11.01.57.jpeg","184"
"Mais Futuro garante assistência a 4 mil universitários baianos","14981590621498054755IMG_20170621_105310.jpg","184"
"Mais Futuro garante assistência a 4 mil universitários baianos","14981590621498054755IMG_20170621_110250.jpg","184"
"Mais Futuro garante assistência a 4 mil universitários baianos","14981590621498054755IMG_20170621_110723.jpg","184"
"Mais Futuro garante assistência a 4 mil universitários baianos","14981590621498054756IMG_20170621_110558.jpg","184"
"Mais Futuro garante assistência a 4 mil universitários baianos","14981590621498060097IMG_20170621_114548.jpg","184"
"Mais Futuro garante assistência a 4 mil universitários baianos","14981590631498060097IMG_20170621_115140.jpg","184"
"Licitação para publicidade do SAC será reaberta em setembro","1503930162SSA_Shopping_05.jpg","216"
"Terreno do Estado cedido à prefeitura de Feira de Santana irá beneficiar moradores do bairro de Campo Limpo","1498680006DSC_1111.JPG","186"
"Governo concede promoções e progressões para 12 mil servidores","1498829334professores.JPG","187"
"X Congresso Consad debate sobre gestão pública ","1499381248X_Consad_Saeb1.jpeg","189"
"X Congresso Consad debate sobre gestão pública ","1499381248X_Consad_Saeb2.jpeg","189"
"X Congresso Consad debate sobre gestão pública ","1499381248X_Consad_Saeb3.jpeg","189"
"X Congresso Consad debate sobre gestão pública ","1499381248X_Consad_Saeb4.jpeg","189"
"Governo da Bahia inicia recadastramento de servidores ativos ","1500410867studant.jpg","196"
"Saeb convoca aprovados no concurso da Agerba","1500555273agerbaterminais.jpg","198"
"Servidores tiram dúvidas sobre o RH Bahia em talk show","1500647644DSC_0129.JPG","200"
"Servidores tiram dúvidas sobre o RH Bahia em talk show","1500647644DSC_0131.JPG","200"
"Servidores tiram dúvidas sobre o RH Bahia em talk show","1500647644DSC_0136.JPG","200"
"Servidores tiram dúvidas sobre o RH Bahia em talk show","1500647645DSC_0139.JPG","200"
"Servidores tiram dúvidas sobre o RH Bahia em talk show","1500647645DSC_0159.JPG","200"
"Servidores tiram dúvidas sobre o RH Bahia em talk show","1500647645DSC_0168.JPG","200"
"Carreta do SAC em Cristópolis recebe visita de Rui Costa","1500669275SAC_Movel_Cristopolis_1.jpg","201"
"Carreta do SAC em Cristópolis recebe visita de Rui Costa","1500669275SAC_Movel_Cristopolis_2.jpeg","201"
"Carreta do SAC em Cristópolis recebe visita de Rui Costa","1500669275SAC_Movel_Cristopolis_3.jpg","201"
"Carreta do SAC em Cristópolis recebe visita de Rui Costa","1500669276SAC_Movel_Cristopolis_4.jpg","201"
"Gabarito de concurso da PM e Corpo de Bombeiros é divulgado","1502320874gabarito.jpeg","207"
"Ônibus com ar e wi-fi começam a circular no CAB nesta terça-feira","15033509211503350047210817CG001_copy.jpg","211"
"Ônibus com ar e wi-fi começam a circular no CAB nesta terça-feira","15033509211503350047210817CG100.jpg","211"
"Ônibus com ar e wi-fi começam a circular no CAB nesta terça-feira","15033509211503350048210817CG014.jpg","211"
"Ônibus com ar e wi-fi começam a circular no CAB nesta terça-feira","15033509221503350048210817CG020.jpg","211"
"Saeb orienta sobre compensação durante feriadão de Sete de Setembro ","1503586594clockonbluebackground.jpg","214"
"Recadastramento ainda aguarda validação de 17 mil servidores ativos ","1503586328keyboard453795__340.jpg","213"
"Inscrições do Partiu Estágio se encerram no próximo domingo (17)","1505480434partiuestagio.jpeg","228"
"Governo sanciona lei que altera remuneração das carreiras da Segurança Pública","1512503639seguranca.jpeg","255"
"Cidadãos de Ipiaú ganham unidade da Rede SAC","1512503903marcapontosac.png","256"
"Metrô de Salvador facilita acesso a postos da Rede SAC","1507214353SACmetro1.jpg","232"
"Metrô de Salvador facilita acesso a postos da Rede SAC","1507214353SACmetro2.jpg","232"
"Metrô de Salvador facilita acesso a postos da Rede SAC","1507214353SACmetro3.jpg","232"
"Metrô de Salvador facilita acesso a postos da Rede SAC","1507214353SACmetro4.jpg","232"
"Conquali apresenta balanço de suas ações em 2017","1513710039IMG_0036.JPG","261"
"Conquali apresenta balanço de suas ações em 2017","1513710107IMG_0034.JPG","261"
"Servidores são premiados pelas boas práticas no serviço público","1509114758PremiadosBoasPraticas2017.jpg","238"
"Estado sanciona Lei de promoção da carreira que beneficia 29 mil professores e coordenadores pedagógicos","1512504255professor.jpg","257"
"Estado sanciona Lei de promoção da carreira que beneficia 29 mil professores e coordenadores pedagógicos","1512504255professor.jpg","257"
"Itapetinga ganha Ponto SAC em comemoração a aniversário de emancipação","1513024031Itapetinga10.jpeg","258"
"Itapetinga ganha Ponto SAC em comemoração a aniversário de emancipação","1513024031Itapetinga11.jpeg","258"
"Itapetinga ganha Ponto SAC em comemoração a aniversário de emancipação","1513024031Itapetinga12Marcelo.jpeg","258"
"Itapetinga ganha Ponto SAC em comemoração a aniversário de emancipação","1513024031Itapetinga13Marcelo.jpeg","258"
"Itapetinga ganha Ponto SAC em comemoração a aniversário de emancipação","1513024031Itapetinga2.jpg","258"
"Itapetinga ganha Ponto SAC em comemoração a aniversário de emancipação","1513024031Itapetinga3.jpeg","258"
"Itapetinga ganha Ponto SAC em comemoração a aniversário de emancipação","1513024031Itapetinga4.jpeg","258"
"Itapetinga ganha Ponto SAC em comemoração a aniversário de emancipação","1513024031Itapetinga5.jpeg","258"
"Itapetinga ganha Ponto SAC em comemoração a aniversário de emancipação","1513024031Itapetinga6.jpeg","258"
"Itapetinga ganha Ponto SAC em comemoração a aniversário de emancipação","1513024032Itapetinga7.jpeg","258"
"Itapetinga ganha Ponto SAC em comemoração a aniversário de emancipação","1513024032Itapetinga8.jpeg","258"
"Itapetinga ganha Ponto SAC em comemoração a aniversário de emancipação","1513024032Itapetinga9.jpeg","258"
"Estado inicia tramitação eletrônica de processos e entra na era digital","1513631610BannerSEI.jpg","259"
"Suprev fecha 2017 com economia superior a R$ 41 milhões para os cofres do Estado","1513692137IMG_0052.JPG","260"
"Suprev fecha 2017 com economia superior a R$ 41 milhões para os cofres do Estado","1513692137IMG_0054.JPG","260"
"Suprev fecha 2017 com economia superior a R$ 41 milhões para os cofres do Estado","1513692137IMG_0062.JPG","260"
"Suprev fecha 2017 com economia superior a R$ 41 milhões para os cofres do Estado","1513692138IMG_0075.JPG","260"
"PrevBahia ganha permissão de administrar previdência complementar de qualquer estado do país","1513971294money1885540_960_720.jpg","262"
"Processos de movimentação e substituição de servidores ganharão agilidade com RH Bahia","151457124353f3b1425e9a42f6ad6cd7e62f4bbfc0.jpg","263"
"Secretaria da Administração inicia recadastramento anual de inativos","1515788371IMG_8875_2.JPG","266"
"Equipe do RH Bahia começa a execução dos testes no novo sistema","1515788148RHBahia.jpg","265"
"Secretaria da Administração cede sistema de controle para Estado de Alagoas","1517436683DSC_0969.JPG","271"
"Gestão da instrutoria interna no Estado ganhará eficiência com o RH Bahia","1518701306DSC_0325.JPG","273"
"Governo abre 2,7 mil novas vagas para o Partiu Estágio","1519148153normal_1506600316partiuestagio.jpg","276"
"Governo abre 2,7 mil novas vagas para o Partiu Estágio","1519148998partiuestagio.jpeg","276"
"Rede SAC lança pagamento antecipado para emissão de RG","1519331666SSA_Shopping_05.jpg","277"
"Educadores de toda a Bahia realizaram as provas do concurso público da rede estadual de ensino","1519651995dsc0003.jpg","278"
"Rede SAC retoma atendimento aos serviços do TRE na segunda-feira (5)","152001795736711951975_70dc28759b_o.jpg","284"
"Inscrições do Partiu Estágio terminam na próxima segunda (12)","1520519619DD_8NlLXoAIvq3r.jpg","286"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Barra_da_Estiva.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Bom_Jesus_da_Lapa.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Caetite.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Camacari.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Cicero_Dantas.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Cocos.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Euclides_da_Cunha.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Guanambi.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Ipiau.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Itabuna.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Itapetinga.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Jequie.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Jeremoabo.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Juazeiro.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Ribeira_do_Pombal.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Rio_Real.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Teixeira.jpg","287"
"Rede SAC inaugura 18 novas unidades em três anos","1520536022Xique_Xique.jpg","287"
"SAC Servidor prestou 41 mil atendimentos a funcionários públicos em 2017","1520970590SAC_Servidor.jpg","288"
"Governo cede imóvel para entidade filantrópica que atende pessoas com deficiência em Senhor do Bonfim","1521147020cessao1503.JPG","290"
"Governo convoca 2.622 universitários do programa Partiu Estágio","1521563728normal_1502108301partiu_estagio_banner543X343.jpg","291"
"Conquali apresenta avanços nos serviços e na gestão do Estado","1521651541IMG_0393.JPG","292"
"Quantidade de processos criados no SEI Bahia chega a 12,7 mil","1522185113IMG_0411.JPG","294"
"Quantidade de processos criados no SEI Bahia chega a 12,7 mil","1522185126IMG_0422.JPG","294"
"Governo cede imóvel para Universidade do Recôncavo em Santo Amaro","1522358825DSC_0079.JPG","295"
"Ecotimistas recebem capacitação sobre sistema de monitoramento de água e energia","1522961253IMG_0476.JPG","296"
"Governo concede progressão nas carreiras de 945 agentes penitenciários","15233764902be2e5a1d55b0e85b2cb506c78a5eabfphoto.jpg","297"
"Mais de 37 mil candidatos fazem provas de concurso da Polícia Civil","1524422443Robsoneequipee.jpg","300"
"Mais de 37 mil candidatos fazem provas de concurso da Polícia Civil","15244229152deJUlhoo.jpg","300"
"Mais de 37 mil candidatos fazem provas de concurso da Polícia Civil","15244235032deJUlhoo.jpg","300"
"Mais de 37 mil candidatos fazem provas de concurso da Polícia Civil","15244239352deJUlhoo.jpg","300"
"Planserv esclarece sobre decisão do Tribunal de Justiça do Estado da Bahia","1524692157planserv_marca_0.jpg","304"
"Saeb inicia obras de recuperação do Instituto do Cacau","1526050261IMG_0632.JPG","309"
"Saeb inicia obras de recuperação do Instituto do Cacau","1526050261IMG_0586.JPG","309"
"Saeb inicia obras de recuperação do Instituto do Cacau","1526050261IMG_0593.JPG","309"
"Saeb inicia obras de recuperação do Instituto do Cacau","1526050261IMG_0605.JPG","309"
"Empresas públicas começam a enviar dados por meio de ferramenta do eSocial","1527596325DSC_0244.JPG","315"
"Ponto SAC Camamu é reinaugurado nesta quarta-feira (27)","1530118361FOTOCAMAMU.jpeg","325"
"Orientação sobre legislação eleitoral","1530823178leieleitoral.jpeg","329"
"Orientação sobre legislação eleitoral","1530823178leieleitoral.jpeg","329"
"Orientação sobre legislação eleitoral","1530823178leieleitoral.jpeg","329"
"Novo sistema de RH é apresentado a 200 lideranças de órgãos estaduais","1541792406DSC_0965.JPG","333"
"Estado dá início a novo ciclo de planejamento","1542047088Eduardo_Tito2.JPG","335"
"Estado dá início a novo ciclo de planejamento","1542047087Eduardo_Tito3.JPG","335"
"Estado dá início a novo ciclo de planejamento","1542047087Eduardo_Tito1.JPG","335"
"Aprimoramento da gestão de imóveis públicos foi debatido em evento da Saeb","1542219963IMG_2847.JPG","338"
"Aprimoramento da gestão de imóveis públicos foi debatido em evento da Saeb","1542219997IMG_2868.JPG","338"
"Governo arrecada R$ 2,7 milhões com leilão de bens públicos","1543615325Leilao.jpeg","342"
"Governo da Bahia alcança marca de 200 mil processos em tramitação através do SEI","1544534810SeiBahia.png","344"
"Mais 300 servidores participam de mobilização para implantação do RH Bahia","1545410985IMG_3105.JPG","345"
"Novo sistema de Recursos Humanos entra em operação em todo o Estado","1546614707MariananoPortal3corte.jpg","346"
"Rede SAC inaugura unidade de atendimento no Shopping da Bahia","1546857537sacshoppingdabahia.jpeg","347"
"Inaugurado posto SAC em Salvador que abriga Central do Detran","15468780881546863992WhatsApp_Image_20190107_at_09.10.30_0.jpg","348"
"Inaugurado posto SAC em Salvador que abriga Central do Detran","15468780881546863994WhatsApp_Image_20190107_at_09.10.34_0.jpg","348"
"Inaugurado posto SAC em Salvador que abriga Central do Detran","15468780881546863994WhatsApp_Image_20190107_at_09.11.45_0.jpg","348"
"Inaugurado posto SAC em Salvador que abriga Central do Detran","15468780891546863995WhatsApp_Image_20190107_at_09.11.47_0.jpg","348"
"Inaugurado posto SAC em Salvador que abriga Central do Detran","15468780891546863996WhatsApp_Image_20190107_at_09.11.53_0.jpg","348"
"Inaugurado posto SAC em Salvador que abriga Central do Detran","15468780891546864885WhatsApp_Image_20190107_at_09.10.36_0.jpg","348"
